FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070422;1600;;;;
070422;1700;;;;
070422;1800;;;;
070422;1900;;;;
070422;2000;;;;
070422;2100;;;;
070422;2200;;;;
070422;2300;;;;
070423;0000;;;;
070423;0100;;;;
070423;0200;;;;
070423;0300;;;;
070423;0400;;;;
070423;0500;;;;
070423;0600;;;;
070423;0700;;;;
070423;0800;;;;
070423;0900;;;;
070423;1000;;;;
070423;1100;;;;
070423;1200;;;;
070423;1300;;;;
070423;1400;;;;
070423;1500;;;;
070423;1600;;;;
070423;1700;;;;
070423;1800;;;;
070423;1900;;;;
070423;2000;;;;
070423;2100;;;;
070423;2200;;;;
070423;2300;;;;
070424;0000;;;;
070424;0100;;;;
070424;0200;;;;
070424;0300;;;;
070424;0400;;;;
070424;0500;;;;
070424;0600;;;;
070424;0700;;;;
070424;0800;;;;
070424;0900;;;;
070424;1000;;;;
070424;1100;;;;
070424;1200;;;;
070424;1300;;;;
070424;1400;;;;
070424;1500;;;;
070424;1600;;;;
070424;1700;;;;
070424;1800;;;;
070424;1900;;;;
070424;2000;;;;
070424;2100;;;;
070424;2200;;;;
070424;2300;;;;
070425;0000;;;;
070425;0100;;;;
070425;0200;;;;
070425;0300;;;;
070425;0400;;;;
070425;0500;;;;
070425;0600;;;;
070425;0700;;;;
070425;0800;;;;
070425;0900;;;;
070425;1000;;;;
070425;1100;;;;
070425;1200;;;;
070425;1300;;;;
070425;1400;;;;
070425;1500;;;;
070425;1600;;;;
070425;1700;;;;
070425;1800;;;;
070425;1900;;;;
070425;2000;;;;
070425;2100;;;;
070425;2200;;;;
070425;2300;;;;
070426;0000;;;;
070426;0100;;;;
070426;0200;;;;
070426;0300;;;;
070426;0400;;;;
070426;0500;;;;
070426;0600;;;;
070426;0700;;;;
070426;0800;;;;
070426;0900;;;;
070426;1000;;;;
070426;1100;;;;
070426;1200;;;;
070426;1300;;;;
070426;1400;;;;
070426;1500;;;;
070426;1600;;;;
070426;1700;;;;
070426;1800;;;;
070426;1900;;;;
070426;2000;;;;
070426;2100;;;;
070426;2200;;;;
070426;2300;;;;
070427;0000;;;;
070427;0100;;;;
070427;0200;;;;
070427;0300;;;;
070427;0400;;;;
070427;0500;;;;
070427;0600;;;;
070427;0700;;;;
070427;0800;;;;
070427;0900;;;;
070427;1000;;;;
070427;1100;;;;
070427;1200;;;;
070427;1300;;;;
070427;1400;;;;
070427;1500;;;;
070427;1600;;;;
070427;1700;;;;
070427;1800;;;;
070427;1900;;;;
070427;2000;;;;
070427;2100;;;;
070427;2200;;;;
070427;2300;;;;
070428;0000;;;;
070428;0100;;;;
070428;0200;;;;
070428;0300;;;;
070428;0400;;;;
070428;0500;;;;
070428;0600;;;;
070428;0700;;;;
070428;0800;;;;
070428;0900;;;;
070428;1000;;;;
070428;1100;;;;
070428;1200;;;;
070428;1300;;;;
070428;1400;;;;
070428;1500;;;;
070428;1600;;;;
070428;1700;;;;
070428;1800;;;;
070428;1900;;;;
070428;2000;;;;
070428;2100;;;;
070428;2200;;;;
070428;2300;;;;
070429;0000;;;;
070429;0100;;;;
070429;0200;;;;
070429;0300;;;;
070429;0400;;;;
070429;0500;;;;
070429;0600;;;;
070429;0700;;;;
070429;0800;;;;
070429;0900;;;;
070429;1000;;;;
070429;1100;;;;
070429;1200;;;;
070429;1300;;;;
070429;1400;;;;
070429;1500;;;;
070429;1600;;;;
070429;1700;;;;
070429;1800;;;;
070429;1900;;;;
070429;2000;;;;
070429;2100;;;;
070429;2200;;;;
070429;2300;;;;
070430;0000;;;;
070430;0100;;;;
070430;0200;;;;
070430;0300;;;;
070430;0400;;;;
070430;0500;;;;
070430;0600;;;;
070430;0700;;;;
070430;0800;;;;
070430;0900;;;;
070430;1000;;;;
070430;1100;;;;
070430;1200;;;;
070430;1300;;;;
070430;1400;;;;
070430;1500;;;;
070430;1600;;;;
070430;1700;;;;
070430;1800;;;;
070430;1900;;;;
070430;2000;;;;
070430;2100;;;;
070430;2200;;;;
070430;2300;;;;
070501;0000;;;;
070501;0100;;;;
070501;0200;;;;
070501;0300;;;;
070501;0400;;;;
070501;0500;;;;
070501;0600;;;;
070501;0700;;;;
070501;0800;;;;
070501;0900;;;;
070501;1000;;;;
070501;1100;;;;
070501;1200;;;;
070501;1300;;;;
070501;1400;;;;
070501;1500;;;;
070501;1600;;;;
070501;1700;;;;
070501;1800;;;;
070501;1900;;;;
070501;2000;;;;
070501;2100;;;;
070501;2200;;;;
070501;2300;;;;
070502;0000;;;;
070502;0100;;;;
070502;0200;;;;
070502;0300;;;;
070502;0400;;;;
070502;0500;;;;
070502;0600;;;;
070502;0700;;;;
070502;0800;;;;
070502;0900;;;;
070502;1000;;;;
070502;1100;;;;
070502;1200;;;;
070502;1300;;;;
070502;1400;;;;
070502;1500;;;;
070502;1600;;;;
070502;1700;;;;
070502;1800;;;;
070502;1900;;;;
070502;2000;;;;
070502;2100;;;;
070502;2200;;;;
070502;2300;;;;
070503;0000;;;;
070503;0100;;;;
070503;0200;;;;
070503;0300;;;;
070503;0400;;;;
070503;0500;;;;
070503;0600;;;;
070503;0700;;;;
070503;0800;;;;
070503;0900;;;;
070503;1000;;;;
070503;1100;;;;
070503;1200;;;;
070503;1300;;;;
070503;1400;;;;
070503;1500;;;;
070503;1600;;;;
070503;1700;;;;
070503;1800;;;;
070503;1900;;;;
070503;2000;;;;
070503;2100;;;;
070503;2200;;;;
070503;2300;;;;
070504;0000;;;;
070504;0100;;;;
070504;0200;;;;
070504;0300;;;;
070504;0400;;;;
070504;0500;;;;
070504;0600;;;;
070504;0700;;;;
070504;0800;;;;
070504;0900;;;;
070504;1000;;;;
070504;1100;;;;
070504;1200;;;;
070504;1300;;;;
070504;1400;;;;
070504;1500;;;;
070504;1600;;;;
070504;1700;;;;
070504;1800;;;;
070504;1900;;;;
070504;2000;;;;
070504;2100;;;;
070504;2200;;;;
070504;2300;;;;
070505;0000;;;;
070505;0100;;;;
070505;0200;;;;
070505;0300;;;;
070505;0400;;;;
070505;0500;;;;
070505;0600;;;;
070505;0700;;;;
070505;0800;;;;
070505;0900;;;;
070505;1000;;;;
070505;1100;;;;
070505;1200;;;;
070505;1300;;;;
070505;1400;;;;
070505;1500;;;;
070505;1600;;;;
070505;1700;;;;
070505;1800;;;;
070505;1900;;;;
070505;2000;;;;
070505;2100;;;;
070505;2200;;;;
070505;2300;;;;
070506;0000;;;;
070506;0100;;;;
