FECHA (YYMMDD);HORA (HHMM);;
070424;2100;0,898;
070424;2200;1,261;
070424;2300;0,947;
070425;0000;1,325;
070425;0100;1,57;
070425;0200;1,491;
070425;0300;2,705;
070425;0400;2,43;
070425;0500;2,873;
070425;0600;2,365;
070425;0700;2,18;
070425;0800;2,022;
070425;0900;1,864;
070425;1000;2,22;
070425;1100;2,068;
070425;1200;2,328;
070425;1300;2,679;
070425;1400;2,732;
070425;1500;3,027;
070425;1600;3,042;
070425;1700;2,288;
070425;1800;1,944;
070425;1900;1,826;
070425;2000;0,999;
070425;2100;1,223;
070425;2200;1,442;
070425;2300;1,78;
070426;0000;2,092;
070426;0100;2,27;
070426;0200;1,632;
070426;0300;2,219;
070426;0400;1,641;
070426;0500;1,555;
070426;0600;1,589;
070426;0700;1,952;
070426;0800;1,986;
070426;0900;2,313;
070426;1000;2,638;
070426;1100;2,87;
070426;1200;2,754;
070426;1300;2,474;
070426;1400;2,827;
070426;1500;2,653;
070426;1600;2,81;
070426;1700;2,839;
070426;1800;2,681;
070426;1900;2,422;
070426;2000;1,831;
070426;2100;1,081;
070426;2200;1,304;
070426;2300;1,633;
070427;0000;1,548;
070427;0100;1,334;
070427;0200;2,282;
070427;0300;2,054;
070427;0400;2,554;
070427;0500;2,755;
070427;0600;2,263;
070427;0700;1,74;
070427;0800;1,902;
070427;0900;1,966;
070427;1000;1,825;
070427;1100;2,101;
070427;1200;2,199;
070427;1300;2,054;
070427;1400;1,6;
070427;1500;1,876;
070427;1600;1,703;
070427;1700;1,474;
070427;1800;1,938;
070427;1900;1,47;
070427;2000;1,218;
070427;2100;1,335;
070427;2200;1,505;
070427;2300;1,396;
070428;0000;0,535;
070428;0100;0,547998;
070428;0200;0,428;
070428;0300;0,882998;
070428;0400;0,829;
070428;0500;0,698998;
070428;0600;0,455;
070428;0700;0,577;
070428;0800;0,665;
070428;0900;0,766998;
070428;1000;0,695;
070428;1100;0,865998;
070428;1200;1,281;
070428;1300;1,168;
070428;1400;1,278;
070428;1500;1,533;
070428;1600;1,476;
070428;1700;0,768998;
070428;1800;0,993999;
070428;1900;1,417;
070428;2000;0,797998;
070428;2100;0,705998;
070428;2200;0,641998;
070428;2300;0,783998;
070429;0000;1,149;
070429;0100;0,766;
070429;0200;0,698998;
070429;0300;0,580998;
070429;0400;0,785998;
070429;0500;0,497;
070429;0600;0,664;
070429;0700;0,905;
070429;0800;1,032;
070429;0900;0,853;
070429;1000;1,146;
070429;1100;1,476;
070429;1200;0,992;
070429;1300;0,851;
070429;1400;1,077;
070429;1500;1,032;
070429;1600;1,296;
070429;1700;1,385;
070429;1800;0,837;
070429;1900;0,728;
070429;2000;0,971998;
070429;2100;0,820998;
070429;2200;0,825998;
070429;2300;0,820998;
070430;0000;0,818998;
070430;0100;0,717999;
070430;0200;0,827998;
070430;0300;0,952;
070430;0400;1,125;
070430;0500;0,957;
070430;0600;1,297;
070430;0700;0,825;
070430;0800;1,034;
070430;0900;0,835999;
070430;1000;1,125;
070430;1100;1,032;
070430;1200;1,253;
070430;1300;1,732;
070430;1400;1,065;
070430;1500;1,49;
070430;1600;1,676;
070430;1700;1,858;
070430;1800;1,334;
070430;1900;1,527;
070430;2000;1,234;
070430;2100;1,075;
070430;2200;0,669;
070430;2300;1,206;
070501;0000;1,871;
070501;0100;1,513;
070501;0200;0,603998;
070501;0300;1,063;
070501;0400;0,688;
070501;0500;0,580998;
070501;0600;0,612;
070501;0700;0,572;
070501;0800;0,559;
070501;0900;0,634;
070501;1000;0,592999;
070501;1100;0,858998;
070501;1200;1,051;
070501;1300;1,029;
070501;1400;1,314;
070501;1500;1,504;
070501;1600;1,225;
070501;1700;0,941998;
070501;1800;0,662998;
070501;1900;0,563998;
070501;2000;0,78;
070501;2100;0,414;
070501;2200;0,631;
070501;2300;1,071;
070502;0000;0,743999;
070502;0100;0,667;
070502;0200;0,790998;
070502;0300;0,780998;
070502;0400;0,856;
070502;0500;1,008;
070502;0600;0,686998;
070502;0700;0,889;
070502;0800;0,472;
070502;0900;0,879;
070502;1000;0,865;
070502;1100;0,879998;
070502;1200;0,688;
070502;1300;1,511;
070502;1400;2,116;
070502;1500;2,109;
070502;1600;1,969;
070502;1700;2,029;
070502;1800;1,584;
070502;1900;0,618999;
070502;2000;1,057;
070502;2100;0,875998;
070502;2200;0,705998;
070502;2300;0,651999;
070503;0000;0,761;
070503;0100;0,573;
070503;0200;1,085;
070503;0300;0,35;
070503;0400;0,573998;
070503;0500;0,625998;
070503;0600;0,645;
070503;0700;0,577;
070503;0800;0,342;
070503;0900;0,312;
070503;1000;0,463;
070503;1100;0,645;
070503;1200;0,971;
070503;1300;1,16;
070503;1400;1,236;
070503;1500;1,538;
070503;1600;2,185;
070503;1700;2,317;
070503;1800;1,971;
070503;1900;1,214;
070503;2000;0,832998;
070503;2100;0,721998;
070503;2200;1,239;
070503;2300;0,625;
070504;0000;0,487;
070504;0100;1,239;
070504;0200;0,813998;
070504;0300;0,801;
070504;0400;0,625998;
070504;0500;0,629;
070504;0600;0,738;
070504;0700;0,929998;
070504;0800;0,612;
070504;0900;0,974998;
070504;1000;0,825;
070504;1100;0,919998;
070504;1200;1,289;
070504;1300;0,882;
070504;1400;0,978998;
070504;1500;1,267;
070504;1600;1,213;
070504;1700;1,543;
070504;1800;1,179;
070504;1900;0,782;
070504;2000;1,042;
070504;2100;1,061;
070504;2200;0,893998;
070504;2300;0,915998;
070505;0000;0,74;
070505;0100;0,695;
070505;0200;0,766998;
070505;0300;0,648998;
070505;0400;1,039;
070505;0500;1,355;
070505;0600;1,819;
070505;0700;0,931;
070505;0800;0,947;
070505;0900;1,324;
070505;1000;1,417;
070505;1100;1,422;
070505;1200;1,019;
070505;1300;1,165;
070505;1400;1,893;
070505;1500;1,936;
070505;1600;2,375;
070505;1700;2,454;
070505;1800;2,137;
070505;1900;2,036;
070505;2000;2,363;
070505;2100;2,127;
070505;2200;2,725;
070505;2300;2,476;
070506;0000;2,166;
070506;0100;1,846;
070506;0200;2,018;
070506;0300;1,806;
070506;0400;1,665;
070506;0500;1,798;
070506;0600;1,686;
070506;0700;1,505;
070506;0800;1,269;
070506;0900;1,253;
070506;1000;0,889998;
070506;1100;0,875;
070506;1200;1,083;
070506;1300;0,895;
070506;1400;1,766;
070506;1500;2,135;
070506;1600;2,186;
070506;1700;2,417;
070506;1800;2,217;
070506;1900;1,661;
070506;2000;1,067;
070506;2100;1,388;
070506;2200;1,243;
070506;2300;1,049;
070507;0000;0,77;
070507;0100;0,719998;
070507;0200;1,061;
070507;0300;0,954;
070507;0400;1,253;
070507;0500;1,154;
070507;0600;1,038;
070507;0700;1,318;
070507;0800;1,095;
070507;0900;1,485;
070507;1000;1,297;
070507;1100;1,114;
070507;1200;1,294;
070507;1300;1,474;
070507;1400;1,843;
070507;1500;2,426;
070507;1600;2,354;
070507;1700;2,608;
070507;1800;2,217;
070507;1900;2,602;
070507;2000;1,758;
070507;2100;1,857;
070507;2200;2,429;
070507;2300;2,148;
070508;0000;1,874;
070508;0100;1,95;
070508;0200;2,009;
070508;0300;1,834;
070508;0400;1,964;
070508;0500;2,17;
070508;0600;2,31;
070508;0700;2,302;
070508;0800;2,152;
070508;0900;2,162;
070508;1000;2,071;
070508;1100;1,628;
070508;1200;1,471;
070508;1300;1,965;
070508;1400;1,217;
070508;1500;1,101;
070508;1600;1,702;
070508;1700;2,148;
