FECHA (YYMMDD);HORA (HHMM);;
140126;2200;0;
140126;2300;0;
140127;0000;0;
140127;0100;0;
140127;0200;0;
140127;0300;0;
140127;0400;0;
140127;0500;0,300583;
140127;0600;50,6792;
140127;0700;223,7;
140127;0800;363,425;
140127;0900;475,075;
140127;1000;700,708;
140127;1100;901,833;
140127;1200;963,583;
140127;1300;966;
140127;1400;898,833;
140127;1500;777,925;
140127;1600;612,642;
140127;1700;407,167;
140127;1800;199,483;
140127;1900;38,3273;
140127;2000;0,0459167;
140127;2100;0;
140127;2200;0;
140127;2300;0;
140128;0000;0;
140128;0100;0;
140128;0200;0;
140128;0300;0;
140128;0400;0;
140128;0500;0,270083;
140128;0600;44,0873;
140128;0700;219,133;
140128;0800;426,167;
140128;0900;626,982;
140128;1000;796,407;
140128;1100;918,833;
140128;1200;984;
140128;1300;987,5;
140128;1400;943,917;
140128;1500;693,982;
140128;1600;543,491;
140128;1700;297,183;
140128;1800;215,773;
140128;1900;46,938;
140128;2000;0,05025;
140128;2100;0;
140128;2200;0;
140128;2300;0;
140129;0000;0;
140129;0100;0;
140129;0200;0;
140129;0300;0;
140129;0400;0;
140129;0500;0,273917;
140129;0600;45,418;
140129;0700;226,667;
140129;0800;434,258;
140129;0900;637,274;
140129;1000;814,017;
140129;1100;937,167;
140129;1200;998,083;
140129;1300;999,667;
140129;1400;932,917;
140129;1500;812,017;
140129;1600;638,191;
140129;1700;432,85;
140129;1800;221,167;
140129;1900;45,3627;
140129;2000;0,0570832;
140129;2100;0;
140129;2200;0;
140129;2300;0;
140130;0000;0;
140130;0100;0;
140130;0200;0;
140130;0300;0;
140130;0400;0;
140130;0500;0,217;
140130;0600;41,5179;
140130;0700;220,383;
140130;0800;427,342;
140130;0900;627,324;
140130;1000;798,717;
140130;1100;917;
140130;1200;976,167;
140130;1300;977,333;
140130;1400;919,667;
140130;1500;800,116;
140130;1600;638,366;
140130;1700;440,558;
140130;1800;224,692;
140130;1900;42,5016;
140130;2000;0,0414166;
140130;2100;0;
140130;2200;0;
140130;2300;0;
140131;0000;0;
140131;0100;0;
140131;0200;0;
140131;0300;0;
140131;0400;0;
140131;0500;0,185333;
140131;0600;39,7798;
140131;0700;219,842;
140131;0800;427,167;
140131;0900;629,574;
140131;1000;799,649;
140131;1100;920,333;
140131;1200;981,25;
140131;1300;980,167;
140131;1400;912,667;
140131;1500;789,407;
140131;1600;619,892;
140131;1700;420,633;
140131;1800;199,608;
140131;1900;39,2217;
140131;2000;0,0325;
140131;2100;0;
140131;2200;0;
140131;2300;0;
140201;0000;0;
140201;0100;0;
140201;0200;0;
140201;0300;0;
140201;0400;0;
140201;0500;0,133417;
140201;0600;34,8091;
140201;0700;203,542;
140201;0800;404,567;
140201;0900;600,083;
140201;1000;772,8;
140201;1100;898,833;
140201;1200;962,333;
140201;1300;956,167;
140201;1400;897;
140201;1500;776,433;
140201;1600;616,782;
140201;1700;419,558;
140201;1800;212,117;
140201;1900;40,7637;
140201;2000;0,0195;
140201;2100;0;
140201;2200;0;
140201;2300;0;
140202;0000;0;
140202;0100;0;
140202;0200;0;
140202;0300;0;
140202;0400;0;
140202;0500;0,133;
140202;0600;33,7912;
140202;0700;206,642;
140202;0800;415,7;
140202;0900;619,366;
140202;1000;790,383;
140202;1100;913,75;
140202;1200;978,167;
140202;1300;977,75;
140202;1400;888,116;
140202;1500;797,708;
140202;1600;627,417;
140202;1700;385,467;
140202;1800;129,125;
140202;1900;58,8539;
140202;2000;0,00633333;
140202;2100;0;
140202;2200;0;
140202;2300;0;
140203;0000;0;
140203;0100;0;
140203;0200;0;
140203;0300;0;
140203;0400;0;
140203;0500;0,094;
140203;0600;34,3006;
140203;0700;214,917;
140203;0800;422,767;
140203;0900;626,366;
140203;1000;799,524;
140203;1100;924,583;
140203;1200;985,917;
140203;1300;987,583;
140203;1400;924,583;
140203;1500;799,357;
140203;1600;624,417;
140203;1700;422,517;
140203;1800;215,167;
140203;1900;38,6829;
140203;2000;0,000166667;
140203;2100;0;
140203;2200;0;
140203;2300;0;
140204;0000;0;
140204;0100;0;
140204;0200;0;
140204;0300;0;
140204;0400;0;
140204;0500;0,0740832;
140204;0600;30,3725;
140204;0700;207,8;
140204;0800;415,442;
140204;0900;618,857;
140204;1000;789,342;
140204;1100;909,583;
140204;1200;972,833;
140204;1300;972,333;
140204;1400;910,833;
140204;1500;788,732;
140204;1600;619,107;
140204;1700;420,067;
140204;1800;211,308;
140204;1900;38,6011;
140204;2000;0,000416667;
140204;2100;0;
140204;2200;0;
140204;2300;0;
140205;0000;0;
140205;0100;0;
140205;0200;0;
140205;0300;0;
140205;0400;0;
140205;0500;0,0340832;
140205;0600;30,304;
140205;0700;209,242;
140205;0800;417,225;
140205;0900;615,616;
140205;1000;787,883;
140205;1100;913,75;
140205;1200;976,25;
140205;1300;975,167;
140205;1400;916,333;
140205;1500;789,699;
140205;1600;613,982;
140205;1700;406,391;
140205;1800;211,683;
140205;1900;39,4541;
140205;2000;0,0141667;
140205;2100;0;
140205;2200;0;
140205;2300;0;
140206;0000;0;
140206;0100;0;
140206;0200;0;
140206;0300;0;
140206;0400;0;
140206;0500;0,0035;
140206;0600;24,5011;
140206;0700;193,292;
140206;0800;401,292;
140206;0900;605,133;
140206;1000;780,708;
140206;1100;908,333;
140206;1200;975,833;
140206;1300;981,917;
140206;1400;918,083;
140206;1500;789,816;
140206;1600;617,592;
140206;1700;420,658;
140206;1800;213,45;
140206;1900;38,8508;
140206;2000;0,00375;
140206;2100;0;
140206;2200;0;
140206;2300;0;
140207;0000;0;
140207;0100;0;
140207;0200;0;
140207;0300;0;
140207;0400;0;
140207;0500;0,00799999;
140207;0600;22,7547;
140207;0700;190,267;
140207;0800;401,692;
140207;0900;605,717;
140207;1000;779,892;
140207;1100;909,333;
140207;1200;980,5;
140207;1300;984,75;
140207;1400;923,833;
140207;1500;801,75;
140207;1600;625,675;
140207;1700;423,542;
140207;1800;210,308;
140207;1900;36,4723;
140207;2000;0;
140207;2100;0;
140207;2200;0;
140207;2300;0;
140208;0000;0;
140208;0100;0;
140208;0200;0;
140208;0300;0;
140208;0400;0;
140208;0500;0;
140208;0600;20,6824;
140208;0700;181,608;
140208;0800;389,458;
140208;0900;597,074;
140208;1000;777,607;
140208;1100;905,667;
140208;1200;975,083;
140208;1300;973,833;
140208;1400;909,667;
